,year,text-flow,static-image,dynamic-image-flow,dynamic-text,scroll,button,total_modalities,total_navigation,nr_articles,text-flow_percentage,static-image_percentage,dynamic-image-flow_percentage,dynamic-text_percentage,text-flow_per_article,static-image_per_article,dynamic-image-flow_per_article,dynamic-text_per_article,scroll_percentage,button_percentage,scroll_per_article,button_per_article
0,2014,1236,312,123,356,2,465,2027,467,104,0.6097681302417366,0.15392205229403058,0.060680809077454365,0.1756290083867785,11.884615384615385,3.0,1.1826923076923077,3.423076923076923,0.000986679822397632,0.22940305870744943,0.019230769230769232,4.471153846153846
1,2015,979,278,105,0,6,206,1362,212,82,0.7187958883994127,0.20411160058737152,0.07709251101321586,0.0,11.939024390243903,3.3902439024390243,1.2804878048780488,0.0,0.004405286343612335,0.1512481644640235,0.07317073170731707,2.5121951219512195
2,2016,1716,540,102,2,6,163,2360,169,74,0.7271186440677966,0.2288135593220339,0.043220338983050846,0.000847457627118644,23.18918918918919,7.297297297297297,1.3783783783783783,0.02702702702702703,0.002542372881355932,0.06906779661016949,0.08108108108108109,2.2027027027027026
3,2017,1765,2125,137,51,0,118,4078,118,109,0.4328102010789603,0.5210887690044139,0.03359489946051986,0.012506130456105935,16.192660550458715,19.495412844036696,1.2568807339449541,0.46788990825688076,0.0,0.02893575282000981,0.0,1.0825688073394495
4,2018,2573,1116,222,86,2,104,3997,106,113,0.6437327995996998,0.27920940705529146,0.05554165624218164,0.02151613710282712,22.76991150442478,9.876106194690266,1.9646017699115044,0.7610619469026548,0.0005003752814610958,0.026019514635976983,0.017699115044247787,0.9203539823008849
5,2019,3302,1581,249,298,2,40,5430,42,106,0.6081031307550645,0.29116022099447514,0.04585635359116022,0.05488029465930019,31.150943396226417,14.915094339622641,2.349056603773585,2.811320754716981,0.00036832412523020257,0.007366482504604052,0.018867924528301886,0.37735849056603776
6,2020,4282,3162,158,169,14,125,7771,139,121,0.5510230343585124,0.40689743919701454,0.02033200360313988,0.02174752284133316,35.388429752066116,26.132231404958677,1.3057851239669422,1.396694214876033,0.0018015699395187235,0.01608544588856003,0.11570247933884298,1.0330578512396693
7,2021,4863,2638,388,760,10,250,8649,260,121,0.5622615331252168,0.3050063591166609,0.04486067753497514,0.08787143022314718,40.1900826446281,21.801652892561982,3.206611570247934,6.2809917355371905,0.0011562030292519366,0.028905075731298416,0.08264462809917356,2.0661157024793386
8,2022,5147,2634,351,314,30,51,8446,81,121,0.6094008998342411,0.31186360407293395,0.04155813402794222,0.037177362064882785,42.53719008264463,21.768595041322314,2.9008264462809916,2.5950413223140494,0.003551977267345489,0.006038361354487331,0.24793388429752067,0.4214876033057851
